대분류코드,대분류코드명,중분류코드,중분류코드명,소분류코드,소분류코드명
EA,기계,EA10,조선/해양시스템,EA1009,조선/해양시스템 관련 S/W
EA,기계,EA10,조선/해양시스템,EA1099,달리 분류되지 않는 조선/해양시스템
EA,기계,EA11,항공시스템,EA1101,고정익/회전익 항공기 기체
EA,기계,EA11,항공시스템,EA1102,고정익/회전익 항공기 동력장치
EA,기계,EA11,항공시스템,EA1103,고정익/회전익 항공기 기계시스템
EA,기계,EA11,항공시스템,EA1104,고정익/회전익 항공기 전기전자시스템
EA,기계,EA11,항공시스템,EA1105,항공 지상설비 시스템
EA,기계,EA11,항공시스템,EA1106,항공시스템 관련 S/W
EA,기계,EA11,항공시스템,EA1199,달리 분류되지 않는 항공시스템
EA,기계,EA12,우주시스템,EA1207,우주발사체 관련 S/W 기술
EA,기계,EA12,우주시스템,EA1209,우주발사체 지상설비 시스템
EA,기계,EA12,우주시스템,EA1210,우주선 본체
EA,기계,EA12,우주시스템,EA1211,우주선 탑재체
EA,기계,EA12,우주시스템,EA1212,우주시스템 추적/관제/수신/활용 기술
EA,기계,EA12,우주시스템,EA1213,우주선 궤도/자세제어 기술
EA,기계,EA12,우주시스템,EA1214,우주선 관련 S/W 기술
EA,기계,EA12,우주시스템,EA1215,우주임무 설계/해석 기술
EA,기계,EA12,우주시스템,EA1216,우주환경 감시 및 우주상황인지/대처 기술
EA,기계,EA12,우주시스템,EA1299,달리 분류되지 않는 우주시스템
EA,기계,EA14,재난안전기계,EA1401,위험설비 안전진단/평가기술
EA,기계,EA14,재난안전기계,EA1402,산업시설 안전검사/시험평가/인증기술
EA,기계,EA14,재난안전기계,EA1403,수방장비
EA,기계,EA14,재난안전기계,EA1404,방재용 중장비
EA,기계,EA14,재난안전기계,EA1405,소방시설/장비시스템 기술
EA,기계,EA14,재난안전기계,EA1406,소방대상물 화재안전성 평가 기술
EA,기계,EA14,재난안전기계,EA1407,재난피해조사 장비
EA,기계,EA14,재난안전기계,EA1408,위험감지/모니터링 장비
EA,기계,EA14,재난안전기계,EA1499,달리 분류되지 않는 재난안전기계
EA,기계,EA15,국방기계,EA1501,화포추진
EA,기계,EA15,국방기계,EA1502,공기흡입추진
EA,기계,EA15,국방기계,EA1503,로켓추진
EA,기계,EA15,국방기계,EA1504,전기추진
EA,기계,EA15,국방기계,EA1505,수중추진
EA,기계,EA15,국방기계,EA1506,동력전달
EA,기계,EA15,국방기계,EA1507,추력방향조종
EA,기계,EA15,국방기계,EA1508,공기흡입/연소
EA,기계,EA15,국방기계,EA1509,열구조설계/해석
EA,기계,EA15,국방기계,EA1510,군용 지상체
EA,기계,EA15,국방기계,EA1511,군용 선체
EA,기계,EA15,국방기계,EA1512,군용 항공기체
EA,기계,EA15,국방기계,EA1513,군용 우주체
EA,기계,EA15,국방기계,EA1514,구조설계/해석
EA,기계,EA15,국방기계,EA1515,군용 발사체
EA,기계,EA15,국방기계,EA1516,제작/공정
EA,기계,EA15,국방기계,EA1517,스텔스/생존성
EA,기계,EA15,국방기계,EA1518,인간시스템
EA,기계,EA15,국방기계,EA1599,달리 분류되지 않는 국방기계
EA,기계,EA99,기타 기계,EA9999,달리 분류되지 않는 기계
EB,재료,EB01,금속재료,EB0101,구조재료
EB,재료,EB01,금속재료,EB0102,기능재료
EB,재료,EB01,금속재료,EB0103,복합재료
EB,재료,EB01,금속재료,EB0104,금속재료공정기술
EB,재료,EB01,금속재료,EB0105,기계/전자부품소재기술
EB,재료,EB01,금속재료,EB0106,에너지소재기술
EB,재료,EB01,금속재료,EB0107,생체재료기술
EB,재료,EB01,금속재료,EB0108,금속정제/회수기술
EB,재료,EB01,금속재료,EB0109,재료분석/평가기술
EB,재료,EB01,금속재료,EB0199,달리 분류되지 않는 금속재료
EB,재료,EB02,세라믹재료,EB0201,구조재료
EB,재료,EB02,세라믹재료,EB0202,시멘트/콘크리트/내화물
EB,재료,EB02,세라믹재료,EB0203,원료/나노세라믹 분말
EB,재료,EB02,세라믹재료,EB0204,유리/유리응용
EB,재료,EB02,세라믹재료,EB0205,도자기/타일 등
EB,재료,EB02,세라믹재료,EB0206,단결정
EB,재료,EB02,세라믹재료,EB0207,세라믹제조공정기술
EB,재료,EB02,세라믹재료,EB0208,생체재료
EB,재료,EB02,세라믹재료,EB0209,광/디스플레이재료
EB,재료,EB02,세라믹재료,EB0210,고강도/열 기능재료
EB,재료,EB02,세라믹재료,EB0211,나노세라믹재료
EB,재료,EB02,세라믹재료,EB0212,전자재료
EB,재료,EB02,세라믹재료,EB0213,복합재료
EB,재료,EB02,세라믹재료,EB0214,에너지재료
EB,재료,EB02,세라믹재료,EB0215,내열/극한환경재료
EB,재료,EB02,세라믹재료,EB0216,세라믹시험분석평가기술
EB,재료,EB02,세라믹재료,EB0299,달리 분류되지 않는 세라믹재료
EB,재료,EB03,고분자재료,EB0301,구조재료
EB,재료,EB03,고분자재료,EB0302,중합반응/공정기술
EB,재료,EB03,고분자재료,EB0303,개질기술
EB,재료,EB03,고분자재료,EB0304,복합재료제조기술
EB,재료,EB03,고분자재료,EB0305,전기/전자정보용 소재기술
EB,재료,EB03,고분자재료,EB0306,의료용 소재기술
EB,재료,EB03,고분자재료,EB0307,에너지/환경산업용 소재기술
EB,재료,EB03,고분자재료,EB0308,특수기능성 소재기술
EB,재료,EB03,고분자재료,EB0309,고분자 재활용기술
EB,재료,EB03,고분자재료,EB0310,고분자 가공기술
EB,재료,EB03,고분자재료,EB0311,나노소재기술
EB,재료,EB03,고분자재료,EB0399,달리 분류되지 않는 고분자재료
EB,재료,EB04,주조/용접/접합,EB0401,사형주조
EB,재료,EB04,주조/용접/접합,EB0402,금형주조
EB,재료,EB04,주조/용접/접합,EB0403,특수주조
EB,재료,EB04,주조/용접/접합,EB0404,다이캐스팅
EB,재료,EB04,주조/용접/접합,EB0405,주조/용접재료
EB,재료,EB04,주조/용접/접합,EB0406,Brazing/Soldering
EB,재료,EB04,주조/용접/접합,EB0407,아크용접
EB,재료,EB04,주조/용접/접합,EB0408,특수용접/접합기술
EB,재료,EB04,주조/용접/접합,EB0409,용접부 분석평가기술
EB,재료,EB04,주조/용접/접합,EB0410,주조/용접 관련 S/W
EB,재료,EB04,주조/용접/접합,EB0499,달리 분류되지 않는 주조/용접/접합
EB,재료,EB05,소성가공/분말,EB0501,단조기술
EB,재료,EB05,소성가공/분말,EB0502,압출기술
EB,재료,EB05,소성가공/분말,EB0503,인발기술
EB,재료,EB05,소성가공/분말,EB0504,압연기술
EB,재료,EB05,소성가공/분말,EB0505,판재성형기술
EB,재료,EB05,소성가공/분말,EB0506,분말제조기술
EB,재료,EB05,소성가공/분말,EB0507,분말가공기술
EB,재료,EB05,소성가공/분말,EB0508,소성가공 관련 S/W
EB,재료,EB05,소성가공/분말,EB0599,달리 분류되지 않는 소성가공/분말
EB,재료,EB06,열/표면처리,EB0601,열처리기술
EB,재료,EB06,열/표면처리,EB0602,도금기술
EB,재료,EB06,열/표면처리,EB0603,박막제조기술
EB,재료,EB06,열/표면처리,EB0604,용사기술
EB,재료,EB06,열/표면처리,EB0605,에칭기술
EB,재료,EB06,열/표면처리,EB0606,부/방식기술
EB,재료,EB06,열/표면처리,EB0607,침탄/질화기술
EB,재료,EB06,열/표면처리,EB0608,전자부품 표면처리기술
EB,재료,EB06,열/표면처리,EB0609,표면물성 개질기술
EB,재료,EB06,열/표면처리,EB0699,달리 분류되지 않는 열/표면처리
EB,재료,EB07,분석/물성 평가기술,EB0701,재료성분 분석기술
EB,재료,EB07,분석/물성 평가기술,EB0702,재료구조/조직 분석기술
EB,재료,EB07,분석/물성 평가기술,EB0703,물리적 특성평가 기술
EB,재료,EB07,분석/물성 평가기술,EB0704,화학적 특성평가 기술
EB,재료,EB07,분석/물성 평가기술,EB0705,기계적 특성평가 기술
EB,재료,EB07,분석/물성 평가기술,EB0706,손상진단 기술
EB,재료,EB07,분석/물성 평가기술,EB0707,내구성평가/수명예측 기술
EB,재료,EB07,분석/물성 평가기술,EB0799,달리 분류되지 않는 분석/물성평가기술
EB,재료,EB08,국방소재,EB0801,장갑재
EB,재료,EB08,국방소재,EB0802,대장갑재
EB,재료,EB08,국방소재,EB0803,고강도구조재료
EB,재료,EB08,국방소재,EB0804,경량구조재료
EB,재료,EB08,국방소재,EB0805,내열/단열재료
EB,재료,EB08,국방소재,EB0806,스텔스재료
EB,재료,EB08,국방소재,EB0807,전자재료/소자
EB,재료,EB08,국방소재,EB0808,나노재료/공정
EB,재료,EB08,국방소재,EB0809,특수기능소재
EB,재료,EB08,국방소재,EB0810,재료특성 예측/분석
EB,재료,EB08,국방소재,EB0899,달리 분류되지 않는 국방소재
EB,재료,EB99,기타 재료,EB9999,달리 분류되지 않는 재료
EC,화공,EC01,화학공정,EC0101,촉매/반응기술
EC,화공,EC01,화학공정,EC0102,분리/정제기술
EC,화공,EC01,화학공정,EC0103,공정시스템기술
EC,화공,EC01,화학공정,EC0104,공정설비기술
EC,화공,EC01,화학공정,EC0105,기초유기소재 공정기술
EC,화공,EC01,화학공정,EC0106,기초무기소재 공정기술
EC,화공,EC01,화학공정,EC0107,석유화학 부산물 응용기술
EC,화공,EC01,화학공정,EC0199,달리 분류되지 않는 화학공정
EC,화공,EC02,나노 화학공정기술,EC0201,나노소재 합성기술
EC,화공,EC02,나노 화학공정기술,EC0202,나노소재 가공기술
EC,화공,EC02,나노 화학공정기술,EC0203,나노소재 제조기술
EC,화공,EC02,나노 화학공정기술,EC0204,나노복합재 제조기술
EC,화공,EC02,나노 화학공정기술,EC0205,나노공정시스템 기술
EC,화공,EC02,나노 화학공정기술,EC0299,달리 분류되지 않는 나노화학공정기술
EC,화공,EC03,고분자 공정기술,EC0301,고분자 중합공정기술
EC,화공,EC03,고분자 공정기술,EC0302,고분자 입자제조기술
EC,화공,EC03,고분자 공정기술,EC0303,고분자 가공/성형기술
EC,화공,EC03,고분자 공정기술,EC0304,고분자 박막/코팅 제조기술
EC,화공,EC03,고분자 공정기술,EC0305,유변공정기술
EC,화공,EC03,고분자 공정기술,EC0306,복합재료 제조공정기술
EC,화공,EC03,고분자 공정기술,EC0399,달리 분류되지 않는 고분자 공정기술
EC,화공,EC04,생물화학 공정기술,EC0401,발효공정기술
EC,화공,EC04,생물화학 공정기술,EC0402,대사공학기술
EC,화공,EC04,생물화학 공정기술,EC0403,효소생물 공정기술
EC,화공,EC04,생물화학 공정기술,EC0404,생물분리정제 공정기술
EC,화공,EC04,생물화학 공정기술,EC0405,생물환경 공정기술
EC,화공,EC04,생물화학 공정기술,EC0406,나노생물 융합 공정기술
EC,화공,EC04,생물화학 공정기술,EC0407,분자생물 공정기술
EC,화공,EC04,생물화학 공정기술,EC0499,달리 분류되지 않는 생물화학 공정기술
EC,화공,EC05,정밀화학,EC0501,의약 중간체/원제
EC,화공,EC05,정밀화학,EC0502,의약제제
EC,화공,EC05,정밀화학,EC0503,농약 중간체/원제
EC,화공,EC05,정밀화학,EC0504,농약제제
EC,화공,EC05,정밀화학,EC0505,염/안료 및 중간체
EC,화공,EC05,정밀화학,EC0506,계면활성제
EC,화공,EC05,정밀화학,EC0507,윤활유
EC,화공,EC05,정밀화학,EC0508,첨가제
EC,화공,EC05,정밀화학,EC0509,도료/코팅제
EC,화공,EC05,정밀화학,EC0510,접착제/실란트
EC,화공,EC05,정밀화학,EC0511,유/무기재료 및 촉매
EC,화공,EC05,정밀화학,EC0512,감광재료
EC,화공,EC05,정밀화학,EC0513,화장품
EC,화공,EC05,정밀화학,EC0514,전자산업용 정밀화학소재
EC,화공,EC05,정밀화학,EC0515,나노응용기술
EC,화공,EC05,정밀화학,EC0599,달리 분류되지 않는 정밀화학
EC,화공,EC06,화학제품,EC0601,제지
EC,화공,EC06,화학제품,EC0602,인조피혁
EC,화공,EC06,화학제품,EC0603,천연피혁
EC,화공,EC06,화학제품,EC0604,고무(타이어 포함)
EC,화공,EC06,화학제품,EC0699,달리 분류되지 않는 화학제품
EC,화공,EC07,섬유제조,EC0701,중합개질
EC,화공,EC07,섬유제조,EC0702,섬유방사
EC,화공,EC07,섬유제조,EC0703,천연섬유방적
EC,화공,EC07,섬유제조,EC0704,사가공기술
EC,화공,EC07,섬유제조,EC0705,제직기술
EC,화공,EC07,섬유제조,EC0706,방사설비
EC,화공,EC07,섬유제조,EC0707,사가공설비
EC,화공,EC07,섬유제조,EC0708,산업용 섬유제조기술
EC,화공,EC07,섬유제조,EC0709,나노섬유제조기술
EC,화공,EC07,섬유제조,EC0710,제직설비
EC,화공,EC07,섬유제조,EC0799,달리 분류되지 않는 섬유제조
EC,화공,EC08,염색가공,EC0801,침염기술
EC,화공,EC08,염색가공,EC0802,날염기술
EC,화공,EC08,염색가공,EC0803,사염기술
EC,화공,EC08,염색가공,EC0804,가먼트염색기술
EC,화공,EC08,염색가공,EC0805,물리/화학적 가공기술
EC,화공,EC08,염색가공,EC0806,염색설비
EC,화공,EC08,염색가공,EC0807,가공설비
EC,화공,EC08,염색가공,EC0899,달리 분류되지 않는 염색가공
EC,화공,EC09,섬유제품,EC0901,부직포제조
EC,화공,EC09,섬유제품,EC0902,부직포가공기술
EC,화공,EC09,섬유제품,EC0903,봉제기술
EC,화공,EC09,섬유제품,EC0904,의류패션
EC,화공,EC09,섬유제품,EC0905,편직기술
EC,화공,EC09,섬유제품,EC0906,섬유제품설비
EC,화공,EC09,섬유제품,EC0907,산업용섬유제품
EC,화공,EC09,섬유제품,EC0908,나노섬유제품기술
EC,화공,EC09,섬유제품,EC0909,융합섬유제품
EC,화공,EC09,섬유제품,EC0999,달리 분류되지 않는 섬유제품
EC,화공,EC10,화학공정 안전기술,EC1001,화학공정 안전관리/정보화기술
EC,화공,EC10,화학공정 안전기술,EC1002,유해화학물질 물성해석기술
EC,화공,EC10,화학공정 안전기술,EC1003,위험성평가기술
EC,화공,EC10,화학공정 안전기술,EC1004,위험설비/시설 진단기술
EC,화공,EC10,화학공정 안전기술,EC1005,사고원인/인적오류 분석기술
EC,화공,EC10,화학공정 안전기술,EC1006,피해예측/손실방지기술
EC,화공,EC10,화학공정 안전기술,EC1007,비상대응기술
EC,화공,EC10,화학공정 안전기술,EC1099,달리 분류되지 않는 화학공정 안전기술
EC,화공,EC11,무기화생방/화력탄약,EC1101,화생방위협분석
EC,화공,EC11,무기화생방/화력탄약,EC1102,화생방탐식/식별
EC,화공,EC11,무기화생방/화력탄약,EC1103,화생방보호
EC,화공,EC11,무기화생방/화력탄약,EC1104,연막차폐
EC,화공,EC11,무기화생방/화력탄약,EC1105,화생검증/폐기
EC,화공,EC11,무기화생방/화력탄약,EC1106,의료조치
EC,화공,EC11,무기화생방/화력탄약,EC1107,물리적환경
EC,화공,EC11,무기화생방/화력탄약,EC1108,탄약
EC,화공,EC11,무기화생방/화력탄약,EC1109,화약
EC,화공,EC11,무기화생방/화력탄약,EC1110,부식제/비마찰
EC,화공,EC11,무기화생방/화력탄약,EC1111,무기효과분석
EC,화공,EC11,무기화생방/화력탄약,EC1112,추진제/연료
EC,화공,EC11,무기화생방/화력탄약,EC1113,탄소섬유탄
EC,화공,EC11,무기화생방/화력탄약,EC1114,고섬광발사탄
EC,화공,EC11,무기화생방/화력탄약,EC1115,고에너지레이저
EC,화공,EC11,무기화생방/화력탄약,EC1116,HPM
EC,화공,EC11,무기화생방/화력탄약,EC1117,EMP
EC,화공,EC11,무기화생방/화력탄약,EC1118,초저주파 음파
EC,화공,EC11,무기화생방/화력탄약,EC1119,입자무기
EC,화공,EC11,무기화생방/화력탄약,EC1120,전원/전력 공급
EC,화공,EC11,무기화생방/화력탄약,EC1199,달리 분류되지 않는 무기화생방/화력탄약
EC,화공,EC99,기타 화공,EC9999,달리 분류되지 않는 화공
ED,전기/전자,ED01,광응용기기,ED0101,레이저 관련부품/발생장치
ED,전기/전자,ED01,광응용기기,ED0102,레이저 가공기
ED,전기/전자,ED01,광응용기기,ED0103,결상기기
ED,전기/전자,ED01,광응용기기,ED0104,광계측/제어기기
ED,전기/전자,ED01,광응용기기,ED0105,광원
ED,전기/전자,ED01,광응용기기,ED0106,광소재
ED,전기/전자,ED01,광응용기기,ED0107,광부품
ED,전기/전자,ED01,광응용기기,ED0108,광소자
ED,전기/전자,ED01,광응용기기,ED0199,달리 분류되지 않는 광응용기기
ED,전기/전자,ED02,반도체장비,ED0201,열처리장비
ED,전기/전자,ED02,반도체장비,ED0202,노광/트랙장비
ED,전기/전자,ED02,반도체장비,ED0203,에칭장비
ED,전기/전자,ED02,반도체장비,ED0204,폴리싱(CMP) 장비
ED,전기/전자,ED02,반도체장비,ED0205,증착장비
ED,전기/전자,ED02,반도체장비,ED0206,이온주입장비
ED,전기/전자,ED02,반도체장비,ED0207,세정장비
ED,전기/전자,ED02,반도체장비,ED0208,패키징장비
ED,전기/전자,ED02,반도체장비,ED0209,측정/검사장비
ED,전기/전자,ED02,반도체장비,ED0210,반도체장비용 핵심부품/제조장비
ED,전기/전자,ED02,반도체장비,ED0299,달리 분류되지 않는 반도체장비
ED,전기/전자,ED03,중전기기,ED0301,발전기/전동기 및 제어
ED,전기/전자,ED03,중전기기,ED0302,전력변환기기
ED,전기/전자,ED03,중전기기,ED0303,전력용재료
ED,전기/전자,ED03,중전기기,ED0304,변압기류
ED,전기/전자,ED03,중전기기,ED0305,개폐기류
ED,전기/전자,ED03,중전기기,ED0306,송배전 설비
ED,전기/전자,ED03,중전기기,ED0307,보호/감시장치
ED,전기/전자,ED03,중전기기,ED0308,자동화제어기기
ED,전기/전자,ED03,중전기기,ED0309,전기로
ED,전기/전자,ED03,중전기기,ED0310,전선/케이블류
ED,전기/전자,ED03,중전기기,ED0311,초전도 기술/제품
ED,전기/전자,ED03,중전기기,ED0312,전기용접/가열
ED,전기/전자,ED03,중전기기,ED0313,전원장치
ED,전기/전자,ED03,중전기기,ED0314,에너지저장기기
ED,전기/전자,ED03,중전기기,ED0399,달리 분류되지 않는 중전기기
ED,전기/전자,ED04,반도체 소자·회로,ED0401,Si 소자
ED,전기/전자,ED04,반도체 소자·회로,ED0402,화합물소자
ED,전기/전자,ED04,반도체 소자·회로,ED0403,MEMS 소자
ED,전기/전자,ED04,반도체 소자·회로,ED0404,Sensor용 소자
ED,전기/전자,ED04,반도체 소자·회로,ED0405,반도체 재료
ED,전기/전자,ED04,반도체 소자·회로,ED0406,SoC
ED,전기/전자,ED04,반도체 소자·회로,ED0407,설계 Tool
ED,전기/전자,ED04,반도체 소자·회로,ED0499,달리 분류되지 않는 반도체 소자·회로
ED,전기/전자,ED05,전기전자부품,ED0501,센서부품
ED,전기/전자,ED05,전기전자부품,ED0502,PCB 부품
ED,전기/전자,ED05,전기전자부품,ED0503,커패시터/부품
ED,전기/전자,ED05,전기전자부품,ED0504,자성재료/부품
ED,전기/전자,ED05,전기전자부품,ED0505,기록매체 부품
ED,전기/전자,ED05,전기전자부품,ED0506,복합 부품
ED,전기/전자,ED05,전기전자부품,ED0507,초고주파 발생소자
ED,전기/전자,ED05,전기전자부품,ED0508,플라즈마 발생용 부품
ED,전기/전자,ED05,전기전자부품,ED0599,달리 분류되지 않는 전기전자부품
ED,전기/전자,ED06,가정용기기/전자응용기기,ED0601,정보가전기기
ED,전기/전자,ED06,가정용기기/전자응용기기,ED0602,음성정보기술 응용기기
ED,전기/전자,ED06,가정용기기/전자응용기기,ED0603,조명기기
ED,전기/전자,ED06,가정용기기/전자응용기기,ED0604,소형가전
ED,전기/전자,ED06,가정용기기/전자응용기기,ED0605,백색가전
ED,전기/전자,ED06,가정용기기/전자응용기기,ED0606,가정용 가스기기
ED,전기/전자,ED06,가정용기기/전자응용기기,ED0607,냉/난방기기
ED,전기/전자,ED06,가정용기기/전자응용기기,ED0608,자동판매기
ED,전기/전자,ED06,가정용기기/전자응용기기,ED0609,현금자동입출금기
ED,전기/전자,ED06,가정용기기/전자응용기기,ED0699,달리 분류되지 않는 가정용기기/전자응용기기
ED,전기/전자,ED07,계측기기,ED0701,계측센서/부품
ED,전기/전자,ED07,계측기기,ED0702,화학량 시험/분석 계측기
ED,전기/전자,ED07,계측기기,ED0703,물리량 시험/분석 계측기
ED,전기/전자,ED07,계측기기,ED0704,환경계측기
ED,전기/전자,ED07,계측기기,ED0705,안전감시/진단 계측제어기
ED,전기/전자,ED07,계측기기,ED0706,유체 제어계측기
ED,전기/전자,ED07,계측기기,ED0707,전자 계측기
ED,전기/전자,ED07,계측기기,ED0708,광 계측기
ED,전기/전자,ED07,계측기기,ED0799,달리 분류되지 않는 계측기기
ED,전기/전자,ED08,영상/음향기기,ED0801,TV 수상기
